6.78994080e+02	4.00000000e+01	2.89209700e+00
6.79094116e+02	4.00000000e+01	2.89209700e+00
6.79194214e+02	4.00000000e+01	2.89209700e+00
6.79294128e+02	4.00000000e+01	2.89209700e+00
6.79394104e+02	4.00000000e+01	2.89209700e+00
6.79494080e+02	4.00000000e+01	2.89209700e+00
6.79594116e+02	4.00000000e+01	2.89209700e+00
6.79694214e+02	4.00000000e+01	2.89209700e+00
6.79794128e+02	4.00000000e+01	2.89209700e+00
6.79894104e+02	4.00000000e+01	2.89209700e+00
6.79994080e+02	4.00000000e+01	2.89209700e+00
6.80094116e+02	4.00000000e+01	2.89209700e+00
6.80194214e+02	5.54620018e+01	2.66519475e+00
6.80294128e+02	5.53559990e+01	2.66646981e+00
6.80394104e+02	5.54620018e+01	2.66519475e+00
6.80494080e+02	5.53559990e+01	2.66646981e+00
6.80594116e+02	5.52579994e+01	2.66765118e+00
6.80694214e+02	5.52659988e+01	2.66755462e+00
6.80794128e+02	5.54010010e+01	2.66592813e+00
6.80894104e+02	5.56069984e+01	2.66345572e+00
6.80994080e+02	5.57900009e+01	2.66126871e+00
6.81094116e+02	5.59379997e+01	2.65950680e+00
6.81194214e+02	5.61640015e+01	2.65682721e+00
6.81294128e+02	5.65499992e+01	2.65228200e+00
6.81394104e+02	5.70299988e+01	2.64668345e+00
6.81494080e+02	5.74259987e+01	2.64210868e+00
6.81594116e+02	5.75880013e+01	2.64024878e+00
6.81694214e+02	5.74519997e+01	2.64180970e+00
6.81794128e+02	5.70730019e+01	2.64618468e+00
6.81894104e+02	5.66010017e+01	2.65168428e+00
6.81994080e+02	5.62140007e+01	2.65623641e+00
6.82094116e+02	5.60400009e+01	2.65829587e+00
6.82194214e+02	5.60859985e+01	2.65775061e+00
6.82294128e+02	5.62340012e+01	2.65600014e+00
6.82394104e+02	5.63930016e+01	2.65412593e+00
6.82494080e+02	5.65110016e+01	2.65273929e+00
6.82594116e+02	5.65470009e+01	2.65231705e+00
6.82694214e+02	5.64809990e+01	2.65309167e+00
6.82794128e+02	5.63219986e+01	2.65496206e+00
6.82894104e+02	5.61160011e+01	2.65739536e+00
6.82994080e+02	5.59189987e+01	2.65973258e+00
6.83094116e+02	5.57820015e+01	2.66136432e+00
6.83194214e+02	5.57249985e+01	2.66204453e+00
6.83294128e+02	5.57480011e+01	2.66176987e+00
6.83394104e+02	5.58310013e+01	2.66078019e+00
6.83494080e+02	5.59339981e+01	2.65955424e+00
6.83594116e+02	5.60149994e+01	2.65859246e+00
6.83694214e+02	5.60509987e+01	2.65816545e+00
6.83794128e+02	5.60379982e+01	2.65831947e+00
6.83894104e+02	5.59770012e+01	2.65904355e+00
6.83994080e+02	5.58689995e+01	2.66032743e+00
6.84094116e+02	5.57290001e+01	2.66199684e+00
6.84194214e+02	5.55690002e+01	2.66391087e+00
6.84294128e+02	5.54140015e+01	2.66577172e+00
6.84394104e+02	5.52939987e+01	2.66721702e+00
6.84494080e+02	5.52410011e+01	2.66785645e+00
6.84594116e+02	5.52719994e+01	2.66748238e+00
6.84694214e+02	5.53870010e+01	2.66609645e+00
6.84794128e+02	5.55660019e+01	2.66394687e+00
6.84894104e+02	5.57750015e+01	2.66144776e+00
6.84994080e+02	5.59480019e+01	2.65938783e+00
6.85094116e+02	5.60439987e+01	2.65824842e+00
6.85194214e+02	5.61689987e+01	2.65676808e+00
6.85294128e+02	5.65690002e+01	2.65205908e+00
6.85394104e+02	5.75190010e+01	2.64104009e+00
6.85494080e+02	5.91170006e+01	2.62300873e+00
6.85594116e+02	6.11819992e+01	2.60059023e+00
6.85694214e+02	6.31699982e+01	2.57988358e+00
6.85794128e+02	6.44300003e+01	2.56717706e+00
6.85894104e+02	6.45149994e+01	2.56633091e+00
6.85994080e+02	6.34350014e+01	2.57718492e+00
6.86094116e+02	6.16949997e+01	2.59516716e+00
6.86194214e+02	6.01160011e+01	2.61204290e+00
6.86294128e+02	5.93569984e+01	2.62035322e+00
6.86394104e+02	5.96660004e+01	2.61695409e+00
6.86494080e+02	6.08870010e+01	2.60373449e+00
6.86594116e+02	6.26780014e+01	2.58493161e+00
6.86694214e+02	6.46039963e+01	2.56544662e+00
6.86794128e+02	6.63270035e+01	2.54862094e+00
6.86894104e+02	6.75709991e+01	2.53680897e+00
6.86994080e+02	6.80540009e+01	2.53229570e+00
6.87094116e+02	6.75960007e+01	2.53657436e+00
6.87194214e+02	6.62190018e+01	2.54965949e+00
6.87294128e+02	6.41689987e+01	2.56978345e+00
6.87394104e+02	6.19020004e+01	2.59299493e+00
6.87494080e+02	5.99790001e+01	2.61353326e+00
6.87594116e+02	5.88979988e+01	2.62544370e+00
6.87694214e+02	5.88359985e+01	2.62613511e+00
6.87794128e+02	5.96619987e+01	2.61699796e+00
6.87894104e+02	6.10540009e+01	2.60195208e+00
6.87994080e+02	6.25870018e+01	2.58587074e+00
6.88094116e+02	6.39259987e+01	2.57222199e+00
6.88194214e+02	6.48700027e+01	2.56281257e+00
6.88294128e+02	6.52750015e+01	2.55882812e+00
6.88394104e+02	6.50960007e+01	2.56058526e+00
6.88494080e+02	6.43499985e+01	2.56797457e+00
6.88594116e+02	6.31150017e+01	2.58044553e+00
6.88694214e+02	6.15460014e+01	2.59673643e+00
6.88794128e+02	5.98569984e+01	2.61486387e+00
6.88894104e+02	5.83019981e+01	2.63212776e+00
6.88994080e+02	5.70379982e+01	2.64659047e+00
6.89094116e+02	5.61119995e+01	2.65744257e+00
6.89194214e+02	5.54690018e+01	2.66511059e+00
6.89294128e+02	5.50009995e+01	2.67076206e+00
6.89394104e+02	5.46590004e+01	2.67492986e+00
6.89494080e+02	5.44389992e+01	2.67762828e+00
6.89594116e+02	5.43409996e+01	2.67883468e+00
6.89694214e+02	5.44560013e+01	2.67741942e+00
6.89794128e+02	5.49830017e+01	2.67098045e+00
6.89894104e+02	5.61860008e+01	2.65656710e+00
6.89994080e+02	5.82809982e+01	2.63236499e+00
6.90094116e+02	6.12270012e+01	2.60011220e+00
6.90194214e+02	6.46829987e+01	2.56466293e+00
6.90294128e+02	6.81080017e+01	2.53179359e+00
6.90394104e+02	7.09710007e+01	2.50586462e+00
6.90494080e+02	7.29390030e+01	2.48878789e+00
6.90594116e+02	7.39710007e+01	2.48006153e+00
6.90694214e+02	7.42460022e+01	2.47776198e+00
6.90794128e+02	7.39680023e+01	2.48008680e+00
6.90894104e+02	7.32249985e+01	2.48635411e+00
6.90994080e+02	7.20530014e+01	2.49640369e+00
6.91094116e+02	7.05329971e+01	2.50974584e+00
