# DEPTH(m)    AC_TDR_CORRECTED(us/ft)    RHO_TDR_CORRECTED(kg/m3)
696.0941 75.396057 2475.223774
696.1942 74.641803 2482.144645
696.2941 74.088925 2487.373858
696.3941 73.602429 2492.014270
696.4941 73.650376 2492.014270
696.5941 73.689735 2492.014270
696.6942 74.177518 2488.105927
696.7941 75.568696 2476.578597
696.8941 77.841280 2458.125464
696.9941 82.405284 2422.873871
697.0941 90.935700 2363.095753
697.1942 104.394518 2281.898588
697.2941 122.253754 2192.551835
697.3941 141.982416 2111.248695
697.4941 159.290478 2050.829934
697.5941 167.903951 2023.685546
697.6942 167.848805 2023.685546
697.7941 167.785098 2023.685546
697.8941 158.967839 2051.105510
697.9941 150.150958 2080.458625
698.0941 149.525488 2082.329154
698.1942 149.427378 2082.329154
698.2941 149.325219 2082.329154
698.3941 160.137231 2045.916998
698.4941 173.871986 2003.998233
698.5941 187.739270 1965.727319
698.6942 193.875069 1949.871468
698.9941 193.836465 1949.871468
699.0941 193.829626 1949.871468
699.1942 188.630094 1963.220760
699.2941 188.652085 1963.220760
699.3941 188.683588 1963.220760
699.4941 191.748634 1955.420139
699.5941 195.036208 1947.238978
700.4941 197.152170 1947.238978
700.5941 199.940783 1947.238978
700.6942 194.907540 1960.339370
700.7941 188.334279 1977.633998
700.8941 180.563150 1998.697454
700.9941 172.522022 2021.297248
701.0941 165.728936 2040.793454
701.1942 163.939527 2044.484855
701.2941 163.163474 2044.484855
701.3941 162.238924 2044.484855
701.4941 165.294003 2031.516844
701.5941 168.307665 2019.351717
701.6942 170.718132 2011.367868
701.7941 170.517639 2011.367868
701.8941 170.339179 2011.367868
701.9941 169.821566 2012.430950
702.0941 169.368897 2013.369737
702.1942 169.256122 2013.369737
702.2941 169.165348 2013.369737
702.3941 169.096551 2013.369737
702.4941 169.049656 2013.369737
702.5941 168.906705 2013.718650
702.6942 167.090704 2019.117803
702.7941 164.636648 2026.600768
702.8941 162.088514 2034.585621
702.9941 159.994338 2041.359926
703.0941 158.680105 2045.814536
703.1942 158.110877 2047.984524
703.2941 157.952539 2048.909295
703.3941 157.858537 2049.671300
703.4941 157.884278 2049.671300
703.5941 157.871379 2049.671300
703.6942 158.379557 2048.010273
703.7941 159.728816 2043.687844
