length_i,length_j,signed_correlation,absolute_correlation
65,65,1.0,1.0
65,79,0.9948666369267889,0.9948666369267889
65,101,0.978720637541742,0.978720637541742
65,129,0.979724107616039,0.979724107616039
65,201,0.9696159078815602,0.9696159078815602
79,65,0.9948666369267889,0.9948666369267889
79,79,1.0,1.0
79,101,0.9899844181563866,0.9899844181563866
79,129,0.9917696846238274,0.9917696846238274
79,201,0.9848639760193761,0.9848639760193761
101,65,0.978720637541742,0.978720637541742
101,79,0.9899844181563866,0.9899844181563866
101,101,1.0,1.0
101,129,0.9971436256839762,0.9971436256839762
101,201,0.9922541662173868,0.9922541662173868
129,65,0.979724107616039,0.979724107616039
129,79,0.9917696846238274,0.9917696846238274
129,101,0.9971436256839762,0.9971436256839762
129,129,1.0000000000000002,1.0000000000000002
129,201,0.997186726288492,0.997186726288492
201,65,0.9696159078815602,0.9696159078815602
201,79,0.9848639760193761,0.9848639760193761
201,101,0.9922541662173868,0.9922541662173868
201,129,0.997186726288492,0.997186726288492
201,201,0.9999999999999998,0.9999999999999998
