wavelet_length,peak_lag_ms,edge_energy_ratio,side_lobe_ratio,wavelet_l2,raw_effective_rank,raw_effective_rank_ratio,raw_condition_ratio,augmented_effective_rank,augmented_effective_rank_ratio,augmented_condition_ratio,data_hessian_strength,ridge_hessian_ratio,smooth_hessian_ratio,dc_hessian_ratio,edge_hessian_ratio,total_regularization_hessian_ratio,objective_data,objective_ridge,objective_smooth,objective_dc,objective_edge,objective_regularization_over_data,damping_probe_relative_change
65,24.999999999997247,0.44502723345278533,1.1358272610625608,3.909097627997145,65,1.0,0.07594990786170615,65,1.0,0.3216922504223082,1.4299186619137954,0.05337991229762098,1.7061189543565107,1.6013973689286296,0.2135196491904839,1.7869527047015223,368.7271917565303,1.1663858003097833,0.0045026128264034826,3.9801380986827076e-32,0.6570070985509665,0.004957311401362835,0.0
79,26.999999999997026,0.3064253286598603,1.016943694034183,4.230418751069698,79,1.0,0.07462854940324166,79,1.0,0.3181385757993521,1.4417882011137149,0.05294046150934638,1.6927313885896442,1.588213845280392,0.21176184603738551,1.7979940040846163,366.58897302265154,1.3660163799448242,0.00658133775460956,9.922781963474894e-34,0.5336763775376063,0.005200031194389598,0.0
101,-0.9999999999998899,0.3381849124244622,0.9135966139378863,4.914315391218597,101,1.0,0.07028918313916378,101,1.0,0.31163705992971374,1.5636443006216685,0.0488147673581184,1.5613063561959564,1.4644430207435521,0.1952590694324736,1.6854162918071498,358.0955991228798,1.8433815674578136,0.004860918388354923,2.232625941781851e-33,1.0791607874218736,0.008174921111676385,0.0
129,25.999999999997137,0.2820855195869499,1.0075649599075267,6.11657923376162,129,1.0,0.06515191541970983,129,1.0,0.3110134660682362,1.6134513383233984,0.04730786169542147,1.51339774390598,1.4192358508626453,0.18923144678168588,1.6522963517430533,346.32982899484114,2.8556593664957846,0.00752483135506667,5.4024035134474426e-33,1.7476005542971187,0.013313276438041487,0.0
201,-0.9999999999998899,0.10721443701110407,0.9446031138897723,7.259096080269058,201,1.0,0.05277496213961612,201,1.0,0.2808713705663413,1.7269520519263875,0.04419864042001363,1.4141825230718807,1.3259592126004096,0.17679456168005453,1.5739967745064836,335.3348392104525,4.022113108293927,0.0070344803688979,1.331375488307628e-31,0.7130352838158805,0.014141634921215411,0.0
