config_name,experiment_name,result_dir,alignment,wavelet_length_s,q_enable,edge_penalty_enabled,mu_edge_configured,mu_edge_effective,CC_stationary,CC_after_DTW,CC_prior_after_DTW,CC_tv_direct,CC_final,W_pass,q_pass,CC_Q,Q_global,valid_ratio,candidate_valid_ratio,candidate_edge_energy_p50,candidate_edge_energy_p90,candidate_edge_energy_max,candidate_side_lobe_p50,candidate_side_lobe_p90,final_edge_energy_p50,final_edge_energy_p90,final_edge_energy_max,final_side_lobe_p50,final_side_lobe_p90,candidate_boundary_peak_fraction,final_boundary_peak_fraction,candidate_reliable_ratio,final_reliable_ratio,longest_candidate_invalid_gap_ms,longest_candidate_unreliable_gap_ms,stationary_candidate_accepted,stationary_candidate_peak_ms,stationary_rejection_code,stationary_prior_source,CC_stationary_raw,candidate_peak_violation_ratio,student_objective_includes_edge,peak_metric_p10,peak_metric_med,peak_metric_p90,peak_abs_p90,candidate_peak_metric_p10,candidate_peak_metric_med,candidate_peak_metric_p90,candidate_peak_abs_p90,final_peak_metric_p10,final_peak_metric_med,final_peak_metric_p90,final_peak_abs_p90,candidate_temporal_difference_energy,final_temporal_difference_energy,irls_iterations_median,irls_iterations_max,best_lag_ms,candidate_best_lag_ms,final_best_lag_ms,final_model_type,acceptance_reasons,q_reason
I10_mu1_0p05_mu2_1p5,cb805_interaction_I10_mu1_0p05_mu2_1p5,_experiment_results/ablation/round5p5_mu1_mu2/I10_mu1_0p05_mu2_1p5,center,0.129,False,True,1.0,1.0,0.1571262285067304,0.15540264622905386,0.1571262285067304,0.3628659039189282,0.3628659039189282,True,False,,,0.6481481481481481,0.6481481481481481,0.11531722706313585,0.21546177745093728,0.21546177745093728,0.7557227118020831,1.052713002155505,0.007643463134465577,0.1492855292111266,0.20213768969487858,0.5297213042362648,0.8296281012866444,0.0,0.0,0.016496465043205028,0.8248232521602514,399.9999999999999,680.0,False,,not_attempted_constant_phase_policy,statistical_constant_phase_prior_after_DTW,,0.0,True,-2.0000000000000018,0.0,0.0,2.0000000000000018,-13.00000000000001,-1.0000000000000009,0.0,13.00000000000001,-2.0000000000000018,0.0,0.0,2.0000000000000018,0.00013202382960861807,0.0068501487898407435,3.0,5,0.0,-1.0000000000000009,0.0,W_est_best_no_Q,,q_disabled
I11_mu1_0p05_mu2_3p0,cb805_interaction_I11_mu1_0p05_mu2_3p0,_experiment_results/ablation/round5p5_mu1_mu2/I11_mu1_0p05_mu2_3p0,center,0.129,False,True,1.0,1.0,0.1571262285067304,0.15540264622905386,0.1571262285067304,0.3628305290948469,0.3628305290948469,True,False,,,0.6481481481481481,0.6481481481481481,0.11511983867266382,0.21587249965488278,0.21587249965488278,0.756458829750865,1.0642775342959827,0.007642364946706467,0.14911748853113083,0.2021467966960176,0.5293997066383183,0.8319690259020781,0.0,0.0,0.016496465043205028,0.8244304791830322,399.9999999999999,680.0,False,,not_attempted_constant_phase_policy,statistical_constant_phase_prior_after_DTW,,0.0,True,-2.0000000000000018,0.0,0.0,2.0000000000000018,-14.000000000000012,-1.0000000000000009,0.0,14.000000000000012,-2.0000000000000018,0.0,0.0,2.0000000000000018,0.0001316724374445292,0.006817064164249449,3.0,5,0.0,-1.0000000000000009,0.0,W_est_best_no_Q,,q_disabled
I12_mu1_0p05_mu2_6p0,cb805_interaction_I12_mu1_0p05_mu2_6p0,_experiment_results/ablation/round5p5_mu1_mu2/I12_mu1_0p05_mu2_6p0,center,0.129,False,True,1.0,1.0,0.1571262285067304,0.15540264622905386,0.1571262285067304,0.3627313065557559,0.3627313065557559,True,False,,,0.6481481481481481,0.6481481481481481,0.11487538424715368,0.2157790487834411,0.2157790487834411,0.7576951596767685,1.0835877593827892,0.00764419484723962,0.14869576059716166,0.20195035772557265,0.5294084449164504,0.8355805907612417,0.0,0.0,0.016496465043205028,0.8232521602513747,399.9999999999999,680.0,False,,not_attempted_constant_phase_policy,statistical_constant_phase_prior_after_DTW,,0.0,True,-2.0000000000000018,0.0,0.0,2.0000000000000018,-14.000000000000012,-1.0000000000000009,0.0,14.000000000000012,-2.0000000000000018,0.0,0.0,2.0000000000000018,0.000131001048081913,0.006747395889184517,3.0,5,0.0,-1.0000000000000009,0.0,W_est_best_no_Q,,q_disabled
