config_name,experiment_name,result_dir,alignment,wavelet_length_s,q_enable,edge_penalty_enabled,mu_edge_configured,mu_edge_effective,CC_stationary,CC_after_DTW,CC_prior_after_DTW,CC_tv_direct,CC_final,W_pass,q_pass,CC_Q,Q_global,valid_ratio,candidate_valid_ratio,candidate_edge_energy_p50,candidate_edge_energy_p90,candidate_edge_energy_max,candidate_side_lobe_p50,candidate_side_lobe_p90,final_edge_energy_p50,final_edge_energy_p90,final_edge_energy_max,final_side_lobe_p50,final_side_lobe_p90,candidate_boundary_peak_fraction,final_boundary_peak_fraction,candidate_reliable_ratio,final_reliable_ratio,longest_candidate_invalid_gap_ms,longest_candidate_unreliable_gap_ms,stationary_candidate_accepted,stationary_candidate_peak_ms,stationary_rejection_code,stationary_prior_source,CC_stationary_raw,candidate_peak_violation_ratio,student_objective_includes_edge,peak_metric_p10,peak_metric_med,peak_metric_p90,peak_abs_p90,candidate_peak_metric_p10,candidate_peak_metric_med,candidate_peak_metric_p90,candidate_peak_abs_p90,final_peak_metric_p10,final_peak_metric_med,final_peak_metric_p90,final_peak_abs_p90,candidate_temporal_difference_energy,final_temporal_difference_energy,irls_iterations_median,irls_iterations_max,best_lag_ms,candidate_best_lag_ms,final_best_lag_ms,final_model_type,acceptance_reasons,q_reason
L00_reduced_baseline,cb805_ablation_L00_reduced_baseline,_experiment_results/ablation/round2_lag/L00_reduced_baseline,center,0.129,False,True,1.0,1.0,0.1571262285067304,0.15540264622905386,0.1571262285067304,0.28798602430869386,0.28798602430869386,True,False,,,0.6481481481481481,0.6481481481481481,0.1154734917209306,0.23227629875950612,0.23227629875950612,0.7542116922788932,1.2820982943249986,0.00041701885192026,0.12757175782331592,0.18237526063598697,0.4379574936754552,0.8022250357311038,0.19992144540455617,0.0,0.016496465043205028,0.8609583660644148,399.9999999999999,640.0,False,,not_attempted_constant_phase_policy,statistical_constant_phase_prior_after_DTW,,0.324037706205813,True,-1.0000000000000009,0.0,0.0,1.0000000000000009,-2.0000000000000018,-1.0000000000000009,64.00000000000006,64.00000000000006,-1.0000000000000009,0.0,0.0,1.0000000000000009,7.207190019057701e-05,0.0036244305798363093,3.0,5,0.0,-1.0000000000000009,0.0,W_est_best_no_Q,,q_disabled
L01_no_mu2,cb805_ablation_L01_no_mu2,_experiment_results/ablation/round2_lag/L01_no_mu2,center,0.129,False,True,1.0,1.0,0.1571262285067304,0.15540264622905386,0.1571262285067304,0.28846820541765794,0.28846820541765794,True,False,,,0.6481481481481481,0.6481481481481481,0.11511388066096083,0.23000912081564814,0.23000912081564814,0.752899538166195,1.2488861742833293,0.00041701885192026,0.12719427179899326,0.18160582641935813,0.4379574936754552,0.800262704113174,0.197172034564022,0.0,0.016496465043205028,0.8617439120188531,399.9999999999999,640.0,False,,not_attempted_constant_phase_policy,statistical_constant_phase_prior_after_DTW,,0.32128829536527886,True,-1.0000000000000009,0.0,0.0,1.0000000000000009,-2.0000000000000018,-1.0000000000000009,64.00000000000006,64.00000000000006,-1.0000000000000009,0.0,0.0,1.0000000000000009,7.248303829724854e-05,0.0036438930937798125,3.0,5,0.0,-1.0000000000000009,0.0,W_est_best_no_Q,,q_disabled
L02_no_lag_gaussian,cb805_ablation_L02_no_lag_gaussian,_experiment_results/ablation/round2_lag/L02_no_lag_gaussian,center,0.129,False,True,1.0,1.0,0.1571262285067304,0.15540264622905386,0.1571262285067304,0.35214778463743446,0.35214778463743446,True,False,,,0.6481481481481481,0.6481481481481481,0.11832724498785716,0.21378929262879962,0.21378929262879962,0.7653192458150928,1.0961026515098944,0.007392029382283264,0.14645722299517944,0.20413822364695333,0.524645899592193,0.8356800641969717,0.0,0.0,0.01610369206598586,0.8256087981146897,399.9999999999999,680.0,False,,not_attempted_constant_phase_policy,statistical_constant_phase_prior_after_DTW,,0.0,True,-2.0000000000000018,0.0,0.0,2.0000000000000018,-14.000000000000012,-1.0000000000000009,0.0,14.000000000000012,-2.0000000000000018,0.0,0.0,2.0000000000000018,0.00011777643988584176,0.005745618225285065,3.0,5,0.0,-1.0000000000000009,0.0,W_est_best_no_Q,,q_disabled
L03_no_mu2_no_lag_gaussian,cb805_ablation_L03_no_mu2_no_lag_gaussian,_experiment_results/ablation/round2_lag/L03_no_mu2_no_lag_gaussian,center,0.129,False,True,1.0,1.0,0.1571262285067304,0.15540264622905386,0.1571262285067304,0.35239108025481675,0.35239108025481675,True,False,,,0.6481481481481481,0.6481481481481481,0.11869643651968359,0.21244467404211329,0.21244467404211329,0.7631453436583698,1.0541204292085558,0.007384615813868877,0.1471240631699567,0.2042338448125532,0.5257609647562622,0.8295133530313363,0.0,0.0,0.01610369206598586,0.8271798900235664,399.9999999999999,680.0,False,,not_attempted_constant_phase_policy,statistical_constant_phase_prior_after_DTW,,0.0,True,-2.0000000000000018,0.0,0.0,2.0000000000000018,-13.00000000000001,-1.0000000000000009,0.0,13.00000000000001,-2.0000000000000018,0.0,0.0,2.0000000000000018,0.00011902359880076947,0.005840894778431555,3.0,5,0.0,-1.0000000000000009,0.0,W_est_best_no_Q,,q_disabled
