config_name,experiment_name,result_dir,alignment,wavelet_length_s,q_enable,edge_penalty_enabled,mu_edge_configured,mu_edge_effective,CC_stationary,CC_after_DTW,CC_prior_after_DTW,CC_tv_direct,CC_final,W_pass,q_pass,CC_Q,Q_global,valid_ratio,candidate_valid_ratio,candidate_edge_energy_p50,candidate_edge_energy_p90,candidate_edge_energy_max,candidate_side_lobe_p50,candidate_side_lobe_p90,final_edge_energy_p50,final_edge_energy_p90,final_edge_energy_max,final_side_lobe_p50,final_side_lobe_p90,candidate_boundary_peak_fraction,final_boundary_peak_fraction,candidate_reliable_ratio,final_reliable_ratio,longest_candidate_invalid_gap_ms,longest_candidate_unreliable_gap_ms,stationary_candidate_accepted,stationary_candidate_peak_ms,stationary_rejection_code,stationary_prior_source,CC_stationary_raw,candidate_peak_violation_ratio,student_objective_includes_edge,peak_metric_p10,peak_metric_med,peak_metric_p90,peak_abs_p90,candidate_peak_metric_p10,candidate_peak_metric_med,candidate_peak_metric_p90,candidate_peak_abs_p90,final_peak_metric_p10,final_peak_metric_med,final_peak_metric_p90,final_peak_abs_p90,candidate_temporal_difference_energy,final_temporal_difference_energy,irls_iterations_median,irls_iterations_max,best_lag_ms,candidate_best_lag_ms,final_best_lag_ms,final_model_type,acceptance_reasons,q_reason
C00_mu2_0p0,cb805_ablation_round5_C00_mu2_0p0,_experiment_results/ablation/round5_mu2/C00_mu2_0p0,center,0.129,False,True,1.0,1.0,0.1571262285067304,0.15540264622905386,0.1571262285067304,0.36614219060425507,0.36614219060425507,True,False,,,0.6481481481481481,0.6481481481481481,0.11438372396462876,0.21468133111081728,0.21468133111081728,0.7513891689188053,1.0352042751593604,0.008414090186414806,0.1520693125578171,0.2010956305262955,0.5375175095981133,0.8235462832912371,0.0,0.0,0.016889238020424194,0.8205027494108406,399.9999999999999,660.0,False,,not_attempted_constant_phase_policy,statistical_constant_phase_prior_after_DTW,,0.0,True,-2.0000000000000018,0.0,0.0,2.0000000000000018,-13.00000000000001,-1.0000000000000009,0.0,13.00000000000001,-2.0000000000000018,0.0,0.0,2.0000000000000018,0.00013767243516724374,0.007182020552049421,3.0,5,0.0,-1.0000000000000009,0.0,W_est_best_no_Q,,q_disabled
C01_mu2_1p5,cb805_ablation_round5_C01_mu2_1p5,_experiment_results/ablation/round5_mu2/C01_mu2_1p5,center,0.129,False,True,1.0,1.0,0.1571262285067304,0.15540264622905386,0.1571262285067304,0.36527819587331567,0.36527819587331567,True,False,,,0.6481481481481481,0.6481481481481481,0.11412698098300042,0.2151809418789612,0.2151809418789612,0.752460855132657,1.0486725027285826,0.007611927540452436,0.14834234667997193,0.20107201626270318,0.5286872098693354,0.8253780847149488,0.0,0.0,0.016889238020424194,0.8275726630007856,399.9999999999999,660.0,False,,not_attempted_constant_phase_policy,statistical_constant_phase_prior_after_DTW,,0.0,True,-2.0000000000000018,0.0,0.0,2.0000000000000018,-13.00000000000001,-1.0000000000000009,0.0,13.00000000000001,-2.0000000000000018,0.0,0.0,2.0000000000000018,0.0001371877198198124,0.007265171995174853,3.0,5,0.0,-1.0000000000000009,0.0,W_est_best_no_Q,,q_disabled
C02_mu2_3p0,cb805_ablation_round5_C02_mu2_3p0,_experiment_results/ablation/round5_mu2/C02_mu2_3p0,center,0.129,False,True,1.0,1.0,0.1571262285067304,0.15540264622905386,0.1571262285067304,0.3652404125258304,0.3652404125258304,True,False,,,0.6481481481481481,0.6481481481481481,0.11390215531580072,0.21555020717330306,0.21555020717330306,0.7532732809577449,1.0602418958127098,0.007608451417387602,0.14811734249098663,0.20110322548532208,0.5282824615574397,0.8284551042986011,0.0,0.0,0.016496465043205028,0.8271798900235664,399.9999999999999,680.0,False,,not_attempted_constant_phase_policy,statistical_constant_phase_prior_after_DTW,,0.0,True,-2.0000000000000018,0.0,0.0,2.0000000000000018,-13.00000000000001,-1.0000000000000009,0.0,13.00000000000001,-2.0000000000000018,0.0,0.0,2.0000000000000018,0.00013680007104637477,0.0072287875036364385,3.0,5,0.0,-1.0000000000000009,0.0,W_est_best_no_Q,,q_disabled
C03_mu2_6p0,cb805_ablation_round5_C03_mu2_6p0,_experiment_results/ablation/round5_mu2/C03_mu2_6p0,center,0.129,False,True,1.0,1.0,0.1571262285067304,0.15540264622905386,0.1571262285067304,0.36515681965844315,0.36515681965844315,True,False,,,0.6481481481481481,0.6481481481481481,0.11362434111898248,0.21630013686050392,0.21630013686050392,0.754898677943707,1.079080138438274,0.007611282502847748,0.14782978649830564,0.2011637202453045,0.5283398887468034,0.8319168332696237,0.0,0.0,0.016496465043205028,0.8256087981146897,399.9999999999999,680.0,False,,not_attempted_constant_phase_policy,statistical_constant_phase_prior_after_DTW,,0.0,True,-2.0000000000000018,0.0,0.0,2.0000000000000018,-14.000000000000012,-1.0000000000000009,0.0,14.000000000000012,-2.0000000000000018,0.0,0.0,2.0000000000000018,0.00013606408155073942,0.007159516563611936,3.0,5,0.0,-1.0000000000000009,0.0,W_est_best_no_Q,,q_disabled
C04_mu2_12p0,cb805_ablation_round5_C04_mu2_12p0,_experiment_results/ablation/round5_mu2/C04_mu2_12p0,center,0.129,False,True,1.0,1.0,0.1571262285067304,0.15540264622905386,0.1571262285067304,0.3649673747715429,0.3649673747715429,True,False,,,0.6481481481481481,0.6481481481481481,0.11340931199824186,0.217472672134238,0.217472672134238,0.7573566965070655,1.1057988481672292,0.007617597650738475,0.14742494147079047,0.20135705652100538,0.528624191268949,0.8379483881659385,0.0,0.0,0.016496465043205028,0.8232521602513747,399.9999999999999,680.0,False,,not_attempted_constant_phase_policy,statistical_constant_phase_prior_after_DTW,,0.0,True,-2.0000000000000018,0.0,0.0,2.0000000000000018,-14.000000000000012,-1.0000000000000009,0.0,14.000000000000012,-2.0000000000000018,0.0,0.0,2.0000000000000018,0.00013466039550862977,0.007030150522978548,3.0,5,0.0,-1.0000000000000009,0.0,W_est_best_no_Q,,q_disabled
